name,type,confidence,n_entries,spelling_variants,index_letters,example_entry
Archbyshop of Yorke Geffrey,person,0.76,2,Archbyshop of Yorke Geffrey,A,"Archbyshop of Yorke Geffrey, depriued. 548.113."
Archbyshop of Yorke Richarde Scrope,person,0.75,1,Archbyshop of Yorke Richarde Scrope,A,Archbyshop of Yorke Richarde Scrope deuised articles against Henry the fourth. pag. 1137. col. 1. line. 41. Conspireth against him. pag. 1147. col. 2. lin. beheaded pag. 1148. col. 2. lin. 48.
Archbyshop of Messina,person,0.66,1,Archbyshop of Messina,A,Archbyshop of Messina sent legate into England. 745.27
Archbyshop of Roan,person,0.64,1,Archbyshop of Roan,R,Archbyshop of Roan slayne comming to Cressey. 935.10. b.
Archbyshopricke of Cantorburie,place,0.76,1,Archbyshopricke of Cantorburie,A,Archbyshopricke of Cantorburie kept voide in the kinges handes. 351.73
Archbyshopricke of Yorke,place,0.81,1,Archbyshopricke of Yorke,A,"Archbyshopricke of Yorke, subiect to the Archbyshopricke of Cantorburie. 305.72."
Archbyshops of Cantorburie,person,0.97,1,Archbyshops of Cantorburie,A,"Archbyshops of Cantorburie, spirituall father to the kyng and all his people. 404.17."
Archenbray battaile,place,0.76,1,Archenbray battaile,A,"Archenbray battaile fought by Robert eldest sonne to king William, against his father. 310.37."
Archigallo,person,0.89,5,Archigallo,A,Archigallo depriued of his kingdome. 31.5
Archilochus,person,0.85,1,Archilochus,A,Archilochus cited. 2.61.
Arde,place,0.85,2,Arde,A,Arde woonne by the Frenchmen. 1007.15. b.
Arde castle,place,0.97,1,Arde castle,A,Arde castle built. 1581.2
Arden,person,0.8,1,Arden,A,Arden murdered. 1703.40.
